ID_Poliza,Fecha_Inicio,Fecha_Fin,ID_Cobertura,ID_Region,Tipo_Vehiculo,Uso_Vehiculo,Valor_Vehiculo,Prima_Emitida,Edad_Asegurado,Sexo,Estado
POL00031,2022-04-09,2023-04-09,COB03,REG02,SUV,Particular,215000.0,5918.97,27,M,Vencida
POL00032,2022-11-01,2023-11-01,COB01,REG02,SUV,Particular,421000.0,19711.06,66,M,Vencida
POL00033,2022-12-18,2023-12-18,COB03,REG03,Compacto,Particular,189000.0,4108.83,20,F,Vencida
POL00034,2022-05-28,2023-05-28,COB01,REG03,Sedán,Particular,133000.0,13187.79,72,F,Vencida
POL00035,2023-12-01,2024-11-30,COB03,REG04,Pickup,Particular,191000.0,4436.96,27,M,Vencida
POL00036,2022-05-06,2023-05-06,COB02,REG03,Compacto,Particular,110000.0,8466.46,66,M,Vencida
POL00037,2022-03-29,2023-03-29,COB02,REG02,Compacto,Particular,274000.0,9077.95,54,M,Vencida
POL00038,2022-07-17,2023-07-17,COB01,REG01,Pickup,Particular,452000.0,19413.22,72,F,Vencida
POL00039,2023-11-15,2024-11-14,COB01,REG05,Compacto,Comercial,634000.0,11960.69,24,F,Vencida
POL00040,2022-03-31,2023-03-31,COB01,REG02,Compacto,Particular,182000.0,13122.52,47,F,Vencida
POL00041,2023-11-02,2024-11-01,COB04,REG05,Sedán,Particular,264000.0,4882.61,56,M,Vencida
POL00042,2023-10-17,2024-10-16,COB01,REG04,Sedán,Comercial,225000.0,11345.1,26,F,Vencida
POL00043,2022-02-07,2023-02-07,COB01,REG04,Sedán,Particular,271000.0,12710.54,64,M,Vencida
POL00044,2023-09-04,2024-09-03,COB01,REG03,Compacto,Particular,197000.0,12782.49,21,M,Vencida
POL00045,2022-05-21,2023-05-21,COB04,REG03,Sedán,Particular,237000.0,5684.43,41,M,Vencida
POL00046,2022-05-07,2023-05-07,COB04,REG02,Compacto,Particular,289000.0,5703.94,48,M,Vencida
POL00047,2022-08-08,2023-08-08,COB02,REG05,Sedán,Particular,546000.0,8029.09,73,M,Vencida
POL00048,2022-04-08,2023-04-08,COB01,REG03,Camioneta,Particular,132000.0,16327.48,52,M,Vencida
POL00049,2022-08-20,2023-02-16,COB02,REG01,Camioneta,Particular,223000.0,13253.04,53,F,Vencida
POL00050,2022-08-19,2023-02-15,COB01,REG03,SUV,Particular,259000.0,17931.8,66,M,Vencida
POL00051,2023-01-03,2024-01-03,COB01,REG04,SUV,Particular,386000.0,13732.72,22,M,Vencida
POL00052,2022-07-24,2023-07-24,COB01,REG03,Sedán,Particular,431000.0,13224.09,31,M,Vencida
POL00053,2023-03-15,2024-03-14,COB04,REG05,Compacto,Particular,134000.0,4515.49,70,M,Vencida
POL00054,2023-04-13,2024-04-12,COB02,REG01,Sedán,Particular,170000.0,11860.33,63,M,Vencida
POL00055,2023-12-24,2024-12-23,COB01,REG01,Compacto,Particular,216000.0,14613.8,31,M,Vencida
POL00056,2023-10-25,2024-10-24,COB01,REG02,Camioneta,Particular,127000.0,18683.59,66,F,Vencida
POL00057,2023-04-11,2024-04-10,COB03,REG01,SUV,Particular,292000.0,6731.18,48,F,Vencida
POL00058,2023-07-16,2024-07-15,COB04,REG03,Compacto,Particular,204000.0,4534.1,19,F,Vencida
POL00059,2022-10-18,2023-10-18,COB01,REG02,Sedán,Particular,311000.0,14925.77,26,M,Vencida
POL00060,2023-03-13,2024-03-12,COB02,REG03,Pickup,Particular,226000.0,10538.87,47,F,Vencida
POL00061,2023-06-11,2024-06-10,COB03,REG01,Compacto,Particular,275000.0,5322.09,24,M,Vencida
POL00062,2023-12-20,2024-06-17,COB02,REG02,Sedán,Particular,203000.0,10669.1,67,F,Vencida
POL00063,2022-12-06,2023-12-06,COB03,REG01,Camioneta,Particular,339000.0,5989.51,21,M,Vencida
POL00064,2022-09-30,2023-03-29,COB02,REG03,Compacto,Comercial,333000.0,7348.45,69,F,Vencida
POL00065,2022-06-21,2023-06-21,COB01,REG03,Camioneta,Particular,212000.0,16542.07,32,F,Vencida
POL00066,2022-06-23,2023-06-23,COB03,REG01,Camioneta,Particular,232000.0,6145.41,56,M,Vencida
POL00067,2022-03-03,2023-03-03,COB03,REG05,Sedán,Particular,320000.0,4615.34,66,F,Vencida
POL00068,2023-05-27,2024-05-26,COB04,REG02,Sedán,Particular,316000.0,5583.1,35,F,Vencida
POL00069,2022-11-27,2023-11-27,COB01,REG05,Compacto,Particular,242000.0,11207.93,49,F,Vencida
POL00070,2022-08-26,2023-08-26,COB02,REG03,Camioneta,Particular,349000.0,9779.41,37,M,Vencida
POL00071,2023-10-01,2024-09-30,COB03,REG04,SUV,Particular,203000.0,4991.23,56,F,Vencida
POL00072,2023-10-21,2024-10-06,COB02,REG01,Camioneta,Comercial,227000.0,11976.69,71,M,Cancelada
POL00073,2023-07-31,2024-07-30,COB01,REG01,SUV,Particular,166000.0,20611.93,35,M,Vencida
POL00074,2022-04-21,2023-04-21,COB01,REG02,SUV,Particular,165000.0,17005.25,18,M,Vencida
POL00075,2023-01-22,2024-01-22,COB01,REG02,Compacto,Particular,100000.0,13508.34,32,F,Vencida
POL00076,2023-09-23,2024-08-30,COB01,REG05,Sedán,Particular,311000.0,12530.1,58,F,Cancelada
POL00077,2022-05-18,2023-05-18,COB01,REG01,Camioneta,Particular,166000.0,21250.18,46,F,Vencida
POL00078,2022-01-04,2023-01-04,COB01,REG04,Compacto,Particular,167000.0,11021.01,69,M,Vencida
POL00079,2023-12-20,2024-01-28,COB01,REG04,Camioneta,Particular,336000.0,13211.62,67,M,Cancelada
POL00080,2023-08-26,2024-08-25,COB01,REG03,Compacto,Particular,429000.0,11582.82,36,M,Vencida
POL00081,2023-11-06,2024-11-05,COB01,REG03,Pickup,Particular,358000.0,14480.71,18,F,Vencida
POL00082,2022-11-23,2023-11-23,COB02,REG03,Sedán,Particular,292000.0,9484.19,51,M,Vencida
POL00083,2022-05-16,2023-05-16,COB01,REG05,Sedán,Particular,291000.0,13780.44,49,M,Vencida
POL00084,2022-01-26,2023-01-26,COB04,REG02,SUV,Particular,204000.0,6788.47,63,F,Vencida
POL00085,2023-05-13,2024-05-12,COB02,REG01,Pickup,Particular,284000.0,11805.05,29,M,Vencida
POL00086,2023-04-22,2023-10-19,COB03,REG02,SUV,Particular,467000.0,5564.23,59,F,Vencida
POL00087,2022-11-29,2023-11-29,COB03,REG01,Sedán,Particular,254000.0,5822.38,19,F,Vencida
POL00088,2022-01-08,2023-01-08,COB01,REG03,Camioneta,Particular,206000.0,15318.81,52,M,Vencida
POL00089,2022-01-18,2023-01-18,COB01,REG01,Camioneta,Particular,140000.0,20941.28,72,F,Vencida
POL00090,2022-11-28,2023-11-28,COB01,REG01,SUV,Particular,167000.0,22543.36,32,F,Vencida
POL00091,2022-08-09,2023-08-09,COB01,REG01,Sedán,Particular,365000.0,18850.63,67,F,Vencida
POL00092,2023-08-20,2024-08-19,COB01,REG02,Camioneta,Particular,200000.0,16761.63,66,M,Vencida
POL00093,2023-09-11,2024-09-10,COB03,REG03,Compacto,Particular,260000.0,4132.56,39,M,Vencida
POL00094,2022-05-10,2023-05-10,COB01,REG05,Sedán,Particular,293000.0,13193.3,66,M,Vencida
POL00095,2023-06-10,2024-06-09,COB03,REG05,SUV,Particular,220000.0,5491.17,32,F,Vencida
POL00096,2023-08-26,2024-08-25,COB02,REG02,SUV,Particular,251000.0,12739.64,42,M,Vencida
POL00097,2023-10-01,2024-09-30,COB01,REG03,Sedán,Particular,272000.0,13600.23,19,F,Vencida
POL00098,2022-04-15,2022-10-12,COB01,REG03,Sedán,Comercial,125000.0,13222.44,64,F,Vencida
POL00099,2022-02-09,2022-08-08,COB01,REG02,Compacto,Particular,477000.0,14470.9,60,M,Vencida
POL00100,2022-10-18,2023-10-18,COB01,REG05,Sedán,Particular,223000.0,13581.5,44,M,Vencida
POL00101,2023-04-26,2024-04-25,COB01,REG03,SUV,Particular,301000.0,16377.21,52,M,Vencida
POL00102,2023-06-29,2024-06-28,COB03,REG01,SUV,Comercial,221000.0,6922.8,60,M,Vencida
POL00103,2022-04-20,2023-04-20,COB01,REG03,SUV,Particular,263000.0,16583.08,59,F,Vencida
POL00104,2022-08-26,2023-08-26,COB01,REG02,Sedán,Particular,338000.0,14216.7,56,M,Vencida
POL00105,2022-05-06,2023-05-06,COB03,REG05,Sedán,Particular,218000.0,4126.93,25,F,Vencida
POL00106,2023-03-02,2024-03-01,COB01,REG03,Compacto,Comercial,250000.0,11966.15,52,F,Vencida
POL00107,2023-12-04,2024-12-03,COB02,REG01,SUV,Comercial,345000.0,14264.61,52,M,Vencida
POL00108,2022-10-22,2023-10-22,COB02,REG03,SUV,Particular,171000.0,11626.34,70,F,Vencida
POL00109,2023-03-19,2024-03-18,COB03,REG02,SUV,Particular,262000.0,6021.7,54,M,Vencida
POL00110,2022-01-29,2022-07-28,COB03,REG05,Sedán,Particular,446000.0,4027.62,37,F,Vencida
POL00111,2022-01-20,2023-01-20,COB01,REG05,Sedán,Particular,198000.0,14323.19,42,M,Vencida
POL00112,2022-11-27,2023-11-27,COB03,REG01,Compacto,Particular,325000.0,4889.41,24,M,Vencida
POL00113,2022-01-24,2023-01-24,COB02,REG03,Pickup,Comercial,305000.0,10655.04,47,M,Vencida
POL00114,2022-08-25,2023-08-25,COB01,REG01,Camioneta,Particular,182000.0,19856.66,62,M,Vencida
POL00115,2023-02-21,2024-02-21,COB03,REG02,Compacto,Particular,216000.0,4379.59,68,M,Vencida
POL00116,2022-09-04,2023-09-04,COB01,REG02,Compacto,Particular,240000.0,12786.29,55,F,Vencida
POL00117,2023-02-03,2024-02-03,COB02,REG04,Sedán,Particular,254000.0,7925.3,60,F,Vencida
POL00118,2023-12-04,2024-12-03,COB01,REG01,Sedán,Particular,214000.0,16590.97,24,F,Vencida
POL00119,2023-11-02,2024-11-01,COB04,REG01,Camioneta,Particular,451000.0,8377.92,40,M,Vencida
POL00120,2023-06-29,2024-06-28,COB02,REG01,Compacto,Particular,514000.0,9150.1,49,M,Vencida
POL00121,2022-03-17,2023-03-17,COB02,REG01,SUV,Particular,265000.0,13004.71,65,M,Vencida
POL00122,2022-01-07,2023-01-07,COB02,REG03,Sedán,Particular,289000.0,8527.62,30,F,Vencida
POL00123,2022-12-13,2023-12-13,COB02,REG05,Sedán,Particular,173000.0,8158.88,51,M,Vencida
POL00124,2022-05-12,2023-05-12,COB01,REG01,Sedán,Comercial,176000.0,17100.63,36,M,Vencida
POL00125,2023-07-04,2024-07-03,COB01,REG05,Pickup,Particular,102000.0,13745.1,24,F,Vencida
POL00126,2022-06-03,2023-06-03,COB03,REG03,Pickup,Particular,199000.0,5010.87,40,F,Vencida
POL00127,2023-11-30,2024-11-29,COB04,REG02,SUV,Comercial,182000.0,6827.95,39,M,Vencida
POL00128,2023-05-02,2024-05-01,COB01,REG05,Camioneta,Particular,257000.0,16339.39,41,F,Vencida
POL00129,2022-08-01,2023-08-01,COB01,REG02,Camioneta,Particular,194000.0,17272.86,55,M,Vencida
POL00130,2023-07-24,2024-01-20,COB01,REG03,SUV,Particular,239000.0,17678.41,50,F,Vencida
POL00131,2022-03-17,2023-03-17,COB02,REG01,Pickup,Particular,252000.0,11461.31,70,F,Vencida
POL00132,2022-05-29,2023-05-29,COB01,REG03,Compacto,Particular,276000.0,11986.31,44,F,Vencida
POL00133,2022-04-20,2023-04-20,COB02,REG01,Sedán,Particular,351000.0,12084.44,46,F,Vencida
POL00134,2022-10-12,2023-10-12,COB02,REG05,SUV,Particular,226000.0,11051.49,64,F,Vencida
POL00135,2022-06-11,2023-06-11,COB01,REG02,Sedán,Particular,313000.0,16322.36,65,M,Vencida
POL00136,2022-03-24,2023-03-24,COB02,REG03,Sedán,Particular,274000.0,8944.89,39,M,Vencida
POL00137,2023-01-09,2024-01-09,COB01,REG01,SUV,Particular,295000.0,22594.04,71,M,Vencida
POL00138,2022-09-24,2023-09-24,COB03,REG03,SUV,Particular,165000.0,5796.32,20,M,Vencida
POL00139,2023-07-11,2024-07-10,COB01,REG05,Sedán,Comercial,334000.0,14012.26,65,M,Vencida
POL00140,2023-12-24,2024-12-23,COB04,REG03,SUV,Particular,353000.0,6271.97,21,M,Vencida
POL00141,2022-04-03,2023-04-03,COB01,REG05,Compacto,Particular,132000.0,11005.38,73,F,Vencida
POL00142,2023-07-12,2024-07-11,COB02,REG05,Pickup,Particular,234000.0,9196.73,45,M,Vencida
POL00143,2023-09-02,2024-09-01,COB01,REG04,SUV,Comercial,301000.0,14088.13,52,F,Vencida
POL00144,2023-02-15,2024-02-15,COB02,REG05,Pickup,Particular,205000.0,8946.22,20,M,Vencida
POL00145,2023-09-23,2024-09-22,COB02,REG03,Sedán,Particular,414000.0,8780.98,53,M,Vencida
POL00146,2022-04-01,2023-04-01,COB01,REG05,SUV,Particular,438000.0,16351.19,48,F,Vencida
POL00147,2023-07-12,2024-07-11,COB01,REG03,Sedán,Comercial,130000.0,14043.79,28,M,Vencida
POL00148,2023-12-12,2024-12-11,COB04,REG02,SUV,Particular,444000.0,7419.85,21,M,Vencida
POL00149,2023-08-08,2024-08-07,COB02,REG05,SUV,Particular,213000.0,10142.08,64,F,Vencida
POL00150,2023-11-10,2024-11-09,COB02,REG02,Camioneta,Particular,300000.0,11953.56,72,M,Vencida
POL00151,2022-10-10,2023-10-10,COB02,REG01,Compacto,Particular,101000.0,10525.19,29,M,Vencida
POL00152,2022-08-28,2023-08-28,COB04,REG01,Sedán,Particular,285000.0,7103.97,48,M,Vencida
POL00153,2022-10-07,2023-10-07,COB02,REG01,Sedán,Particular,163000.0,10475.88,25,M,Vencida
POL00154,2022-07-22,2023-07-22,COB02,REG04,SUV,Particular,285000.0,9454.56,31,M,Vencida
POL00155,2022-01-11,2023-01-11,COB03,REG02,Sedán,Particular,112000.0,4740.91,43,F,Vencida
POL00156,2022-12-11,2023-12-11,COB02,REG03,Compacto,Comercial,232000.0,8289.33,52,M,Vencida
POL00157,2022-11-26,2023-11-26,COB01,REG02,SUV,Particular,157000.0,17322.88,50,M,Vencida
POL00158,2022-04-28,2023-04-28,COB03,REG05,Compacto,Comercial,240000.0,3825.98,35,F,Vencida
POL00159,2023-06-30,2024-06-29,COB02,REG01,Sedán,Particular,216000.0,11851.42,21,F,Vencida
POL00160,2023-07-16,2024-07-15,COB01,REG04,Sedán,Comercial,158000.0,11798.14,25,M,Vencida
POL00161,2023-07-21,2023-11-13,COB01,REG02,SUV,Particular,249000.0,19470.9,62,M,Cancelada
POL00162,2023-02-21,2024-02-21,COB04,REG01,Sedán,Particular,189000.0,6759.76,37,M,Vencida
POL00163,2023-06-30,2024-06-29,COB01,REG02,SUV,Comercial,187000.0,19908.1,27,M,Vencida
POL00164,2022-10-28,2023-10-28,COB01,REG03,Compacto,Particular,142000.0,11699.81,41,M,Vencida
POL00165,2022-12-05,2023-12-05,COB04,REG04,Sedán,Particular,258000.0,5183.68,47,M,Vencida
POL00166,2022-10-21,2023-04-19,COB01,REG01,Sedán,Particular,400000.0,18668.71,53,F,Vencida
POL00167,2023-09-14,2024-03-12,COB01,REG05,SUV,Particular,248000.0,16677.15,27,F,Vencida
POL00168,2023-11-17,2024-05-15,COB03,REG03,Compacto,Particular,208000.0,3717.87,74,M,Vencida
POL00169,2022-06-23,2023-06-23,COB02,REG02,Compacto,Comercial,310000.0,8960.08,32,M,Vencida
POL00170,2023-01-17,2024-01-17,COB04,REG03,Pickup,Comercial,240000.0,6024.77,22,M,Vencida
POL00171,2023-12-22,2024-12-21,COB03,REG01,Compacto,Particular,264000.0,4792.65,32,M,Vencida
POL00172,2023-07-17,2024-01-13,COB02,REG04,Sedán,Particular,202000.0,7914.43,45,M,Vencida
POL00173,2022-02-10,2022-08-09,COB01,REG02,Pickup,Particular,235000.0,17933.66,30,F,Vencida
POL00174,2023-06-29,2024-06-28,COB02,REG04,Sedán,Particular,159000.0,8186.13,24,F,Vencida
POL00175,2023-04-09,2024-04-08,COB02,REG02,Camioneta,Particular,198000.0,11110.97,73,M,Vencida
POL00176,2023-02-27,2024-02-27,COB04,REG05,SUV,Particular,380000.0,5888.89,39,F,Vencida
POL00177,2022-02-22,2023-02-22,COB01,REG04,Camioneta,Particular,241000.0,14481.89,43,F,Vencida
POL00178,2023-01-17,2024-01-17,COB01,REG02,Sedán,Particular,214000.0,14775.01,63,M,Vencida
POL00179,2023-09-07,2024-09-06,COB03,REG01,Compacto,Particular,183000.0,5274.56,24,M,Vencida
POL00180,2022-08-04,2023-08-04,COB02,REG03,Camioneta,Particular,156000.0,10639.39,49,M,Vencida
POL00181,2023-05-14,2023-11-10,COB01,REG01,Sedán,Particular,209000.0,18229.18,72,M,Vencida
POL00182,2022-12-11,2023-06-09,COB04,REG02,SUV,Particular,346000.0,7278.22,56,F,Vencida
POL00183,2022-12-18,2023-12-18,COB02,REG05,SUV,Particular,129000.0,9440.13,54,F,Vencida
POL00184,2022-11-12,2023-11-12,COB01,REG03,Sedán,Comercial,246000.0,13610.77,40,M,Vencida
POL00185,2023-04-14,2024-04-13,COB01,REG05,SUV,Particular,114000.0,15255.07,59,M,Vencida
POL00186,2022-07-29,2023-07-29,COB02,REG05,Pickup,Particular,108000.0,10056.48,36,M,Vencida
POL00187,2022-05-29,2023-05-29,COB01,REG02,Pickup,Comercial,337000.0,16314.25,20,M,Vencida
POL00188,2022-08-23,2023-08-23,COB02,REG03,SUV,Particular,198000.0,10155.85,42,F,Vencida
POL00189,2022-05-18,2023-05-18,COB01,REG04,Camioneta,Particular,193000.0,14521.35,68,M,Vencida
POL00190,2022-07-20,2023-07-20,COB02,REG01,Compacto,Particular,325000.0,9809.48,39,F,Vencida
POL00191,2022-02-22,2023-02-22,COB01,REG01,Pickup,Particular,354000.0,19742.76,26,F,Vencida
POL00192,2023-06-14,2024-06-13,COB02,REG02,SUV,Particular,334000.0,11599.09,45,M,Vencida
POL00193,2023-06-04,2023-10-02,COB02,REG03,Compacto,Particular,377000.0,7888.35,53,M,Cancelada
POL00194,2022-04-12,2023-04-12,COB01,REG02,SUV,Particular,384000.0,19750.16,64,M,Vencida
POL00195,2022-05-24,2023-05-24,COB04,REG01,Compacto,Comercial,307000.0,5641.66,69,F,Vencida
POL00196,2023-04-29,2024-04-28,COB02,REG02,Camioneta,Particular,377000.0,12020.7,60,M,Vencida
POL00197,2023-12-10,2024-12-09,COB01,REG05,Compacto,Particular,213000.0,12532.77,27,F,Vencida
POL00198,2023-03-07,2024-03-06,COB03,REG02,Compacto,Particular,260000.0,4490.46,53,F,Vencida
POL00199,2022-10-31,2023-04-29,COB01,REG03,SUV,Particular,276000.0,16356.61,45,F,Vencida
POL00200,2022-05-19,2023-05-19,COB03,REG02,Pickup,Particular,193000.0,5132.8,24,M,Vencida
POL00201,2023-05-19,2024-05-18,COB01,REG01,Sedán,Particular,221000.0,16189.72,41,F,Vencida
POL00202,2022-09-03,2023-09-03,COB02,REG01,Sedán,Particular,200000.0,11030.11,44,M,Vencida
POL00203,2023-06-23,2023-12-20,COB01,REG03,SUV,Particular,311000.0,15515.86,23,F,Vencida
POL00204,2023-12-19,2024-12-18,COB01,REG04,Camioneta,Comercial,192000.0,14274.52,73,M,Vencida
POL00205,2023-01-10,2024-01-10,COB04,REG01,SUV,Particular,509000.0,8216.84,36,M,Vencida
POL00206,2023-02-04,2024-02-04,COB04,REG01,SUV,Particular,251000.0,8871.9,42,M,Vencida
POL00207,2023-09-22,2024-03-05,COB03,REG02,Sedán,Comercial,422000.0,4701.69,40,M,Cancelada
POL00208,2022-10-14,2023-10-14,COB01,REG03,Sedán,Particular,362000.0,13661.45,35,M,Vencida
POL00209,2023-06-08,2024-06-07,COB03,REG03,Sedán,Comercial,340000.0,4496.11,49,M,Vencida
POL00210,2022-04-01,2022-09-28,COB01,REG04,Pickup,Particular,161000.0,14620.57,45,M,Vencida
POL00211,2022-09-07,2023-09-07,COB02,REG01,Camioneta,Particular,231000.0,11984.39,71,M,Vencida
POL00212,2022-03-21,2023-03-21,COB01,REG01,Sedán,Particular,106000.0,17018.19,36,M,Vencida
POL00213,2022-03-07,2023-03-07,COB03,REG05,Pickup,Particular,194000.0,4908.61,21,F,Vencida
POL00214,2023-07-13,2024-07-12,COB01,REG04,Compacto,Particular,121000.0,11698.99,43,M,Vencida
POL00215,2023-07-17,2024-07-16,COB01,REG04,Compacto,Particular,182000.0,10452.9,73,M,Vencida
POL00216,2022-10-30,2023-10-30,COB01,REG02,SUV,Comercial,272000.0,18261.11,61,M,Vencida
POL00217,2022-08-28,2023-08-28,COB01,REG03,Sedán,Particular,296000.0,14725.56,73,F,Vencida
POL00218,2022-07-07,2023-07-07,COB04,REG04,Sedán,Particular,284000.0,4905.18,36,F,Vencida
POL00219,2022-07-12,2023-07-12,COB02,REG03,Sedán,Particular,216000.0,9017.63,34,F,Vencida
POL00220,2022-07-08,2023-07-08,COB04,REG05,Sedán,Particular,328000.0,5177.06,44,M,Vencida
POL00221,2022-04-25,2023-04-25,COB02,REG05,SUV,Comercial,770000.0,10965.28,55,M,Vencida
POL00222,2023-11-23,2024-11-22,COB02,REG02,Sedán,Comercial,303000.0,9214.37,51,F,Vencida
POL00223,2022-01-29,2023-01-29,COB02,REG01,Pickup,Particular,238000.0,12018.92,71,M,Vencida
POL00224,2022-09-26,2023-09-26,COB01,REG02,Sedán,Particular,233000.0,15712.81,36,M,Vencida
POL00225,2022-10-11,2023-10-11,COB03,REG02,Camioneta,Comercial,208000.0,5959.98,38,M,Vencida
POL00226,2022-02-12,2023-02-12,COB04,REG02,Sedán,Particular,251000.0,6057.43,22,F,Vencida
POL00227,2023-06-13,2024-06-12,COB02,REG04,Compacto,Comercial,266000.0,6653.2,26,F,Vencida
POL00228,2023-09-21,2024-09-20,COB01,REG02,Compacto,Particular,246000.0,14124.89,22,M,Vencida
POL00229,2022-05-26,2023-05-26,COB02,REG03,SUV,Particular,133000.0,10010.61,69,F,Vencida
POL00230,2022-01-04,2023-01-04,COB03,REG02,SUV,Particular,286000.0,5874.57,34,F,Vencida
POL00231,2023-03-13,2023-09-25,COB01,REG02,Sedán,Particular,319000.0,16050.68,64,F,Cancelada
POL00232,2022-10-18,2023-10-18,COB01,REG02,Sedán,Particular,532000.0,15581.45,74,M,Vencida
POL00233,2022-03-11,2023-03-11,COB01,REG04,Sedán,Particular,622000.0,12453.54,57,M,Vencida
POL00234,2022-01-02,2023-01-02,COB01,REG03,Sedán,Particular,185000.0,13079.2,21,M,Vencida
POL00235,2022-07-28,2023-07-28,COB03,REG01,SUV,Particular,251000.0,7278.22,63,M,Vencida
POL00236,2023-11-02,2024-11-01,COB01,REG02,Compacto,Particular,294000.0,13262.71,57,M,Vencida
POL00237,2022-01-30,2023-01-30,COB01,REG02,Sedán,Particular,450000.0,14497.65,26,F,Vencida
POL00238,2022-08-04,2023-08-04,COB01,REG01,Sedán,Particular,349000.0,18194.6,61,M,Vencida
POL00239,2022-05-24,2023-05-24,COB03,REG02,Sedán,Particular,190000.0,4652.15,74,M,Vencida
POL00240,2022-05-29,2023-05-29,COB03,REG04,Compacto,Particular,285000.0,3389.89,32,F,Vencida
POL00241,2022-09-12,2023-09-12,COB04,REG02,SUV,Particular,214000.0,6757.46,24,F,Vencida
POL00242,2023-11-09,2024-11-08,COB01,REG04,Sedán,Comercial,189000.0,12579.47,59,F,Vencida
POL00243,2022-05-20,2023-05-20,COB02,REG03,SUV,Particular,327000.0,10691.36,72,F,Vencida
POL00244,2023-09-04,2024-09-03,COB01,REG01,SUV,Particular,232000.0,21278.81,50,F,Vencida
POL00245,2023-11-23,2024-11-22,COB02,REG03,Compacto,Particular,129000.0,7632.54,48,M,Vencida
POL00246,2022-01-11,2023-01-11,COB02,REG01,Camioneta,Particular,430000.0,13126.62,59,M,Vencida
POL00247,2022-08-30,2023-08-30,COB03,REG03,SUV,Particular,393000.0,5290.6,20,F,Vencida
POL00248,2023-09-17,2024-03-15,COB01,REG01,SUV,Particular,170000.0,19692.36,39,F,Vencida
POL00249,2023-04-19,2023-12-15,COB01,REG01,Pickup,Comercial,336000.0,20233.91,47,M,Cancelada
POL00250,2023-05-14,2024-05-13,COB04,REG04,Sedán,Particular,180000.0,4865.1,62,M,Vencida
